Akun,Tweet,Lokasi
https://twitter.com/_palungmariana,"@sevy_asep @KPK_RI @antikorupsi @sahabatICW @DPR_RI @Kemenkumham_RI @KementerianESDM @TGB_DrZMajdi @ganjarpranowo Betul, yg bikin lucu dia selalu lolos dlm perkara korupsi. Pdhl berulangkali namanya d sebut di persidangan",
https://twitter.com/Simanjunta9Nico,"Sebelum Cek Persiapan Lebaran, Ganjar Shalat Jumat Bareng Jokowi di Masjid Syeikh Zayed.

Presiden Joko Widodo menunjukkan kebersamaan dgn Gubernur Jawa Tengah Ganjar Pranowo, melaksanakan ibadah shalat Jumat di Masjid Raya Sheikh Zayed, Solo.
https://t.co/IHISJrKCUx
@san_jateng",
https://twitter.com/WiwahaZainwa,"@_palungmariana @KPK_RI @antikorupsi @sahabatICW @DPR_RI @Kemenkumham_RI @KementerianESDM @TGB_DrZMajdi @ganjarpranowo Krn byk problem itu, kartu truf nya si Firli dipegang oleh penguasa, bs sewaktu2 berguna sesuai keinginan penguasa...",
https://twitter.com/sevy_asep,@_palungmariana @KPK_RI @antikorupsi @sahabatICW @DPR_RI @Kemenkumham_RI @KementerianESDM @TGB_DrZMajdi @ganjarpranowo Mafia jg ya si Firli..?,
https://twitter.com/umam_s8,@AirinDatangLagi Tetap #GanjarPranowo,
https://twitter.com/hanendra_s,"@Jateng_Twit apakah ini jadi pembeneran buat @ganjarpranowo karena daerah daerah itu sering banjir, ahh entahlah",
https://twitter.com/7skies7days,@AirinDatangLagi @ganjarpranowo is a good man https://t.co/CUS5Ua6Li6,
https://twitter.com/SukaPisang8,"@ganjarpranowo 2024 sampeyan nyagub meneh Pak, Kalo nyapres blom pantes.",
https://twitter.com/jpnncom,Gardu Ganjar Sediakan 1.000 Paket Sembako Murah Untuk Warga Pandeglang #GanjarPranowo https://t.co/oZaqEMTEcd,
https://twitter.com/pak_starx,"Ganjar Pranowo giat lakukan operasi pasar di Semarang untuk mencegah inflasi jelang Idul Fitri. Beberapa komoditas bahan pokok terpantau stabil. Hanya harga bawang saja yg sedikit naik, namun masih dibawah harga acuan. https://t.co/gKbI8Wc0Fx",
https://twitter.com/hakimrachmana,Cc. @pandji @poponkerok @abdurarsyad @ArieKuntung @NajwaShihab @desta80s @helmyyahya @CoachJustinL @ganjarpranowo @mohmahfudmd,
